"pathwayID","entityID"
"R-HSA-2980736","Q9Y6A9"
"R-HSA-2980736","Q9BY50"
"R-HSA-2980736","P61009"
"R-HSA-2980736","P67812"
"R-HSA-2980736","Q8TDV5"
"R-HSA-2980736","Q9P2W3"
"R-HSA-2980736","A8MTJ3"
"R-HSA-2980736","O14842"
"R-HSA-2980736","P07492"
"R-HSA-2980736","P41159"
"R-HSA-2980736","Q5NUL3"
"R-HSA-2980736","Q99626"
"R-HSA-2980736","P26367"
"R-HSA-2980736","P29120"
"R-HSA-2980736","P09681"
"R-HSA-2980736","P61371"
"R-HSA-2980736","P43694"
"R-HSA-2980736","P01019"
"R-HSA-2980736","P08473"
"R-HSA-2980736","P00797"
"R-HSA-2980736","O75787"
"R-HSA-2980736","Q9UBR2"
"R-HSA-2980736","P12821"
"R-HSA-2980736","P23141"
"R-HSA-2980736","Q9BYF1"
"R-HSA-2980736","P23946"
"R-HSA-2980736","P15144"
"R-HSA-2980736","Q07075"
"R-HSA-2980736","P01215"
"R-HSA-2980736","P01222"
"R-HSA-2980736","P01225"
"R-HSA-2980736","P05111"
"R-HSA-2980736","P0DN86"
"R-HSA-2980736","P01229"
"R-HSA-2980736","P01189"
"R-HSA-2980736","P01308"
"R-HSA-2980736","P07237"
"R-HSA-2980736","Q8TAD4"
"R-HSA-2980736","Q9Y4I1"
"R-HSA-2980736","P51159"
"R-HSA-2980736","Q8NFW9"
"R-HSA-2980736","O60645"
"R-HSA-2980736","Q8IYI6"
"R-HSA-2980736","Q9UPT5"
"R-HSA-2980736","Q9NV70"
"R-HSA-2980736","O00471"
"R-HSA-2980736","Q96KP1"
"R-HSA-2980736","Q8TAG9"
"R-HSA-2980736","Q96A65"
"R-HSA-2980736","Q8IWU4"
"R-HSA-2980736","P16870"
"R-HSA-2980736","P16519"
"R-HSA-2980736","Q86YB8"
"R-HSA-2980736","Q9HBJ8"
"R-HSA-2980736","Q16623"
"R-HSA-2980736","P63027"
"R-HSA-2980736","Q13093"
"R-HSA-2980736","O43474"
"R-HSA-2980736","P55089"
"R-HSA-2980736","Q13324"
"R-HSA-2980736","Q96T53"
"R-HSA-2980736","P05019"
"R-HSA-2980736","P01241"
"R-HSA-9013700","Q99466"
"R-HSA-9013700","P63104"
"R-HSA-9013700",
"R-HSA-9013700","O14672"
"R-HSA-9013700","Q9NR61"
"R-HSA-9013700","Q92542"
"R-HSA-9013700","Q9NZ42"
"R-HSA-9013700","P78504"
"R-HSA-1474228","Q8IX30"
"R-HSA-1474228",
"R-HSA-1474228","P98160"
"R-HSA-1474228","Q13751"
"R-HSA-1474228","Q13753"
"R-HSA-1474228","Q16787"
"R-HSA-1474228","P07585"
"R-HSA-1474228","P08246"
"R-HSA-1474228","Q92743"
"R-HSA-1474228","P14543"
"R-HSA-1474228","P12830"
"R-HSA-1474228","P78325"
"R-HSA-1474228","P03956"
"R-HSA-1474228","P35613"
"R-HSA-1474228","Q9UBM4"
"R-HSA-1474228","P08253"
"R-HSA-1474228","P09238"
"R-HSA-1474228","Q8IUZ5"
"R-HSA-1474228","P39900"
"R-HSA-1474228","Q99542"
"R-HSA-1474228","P14780"
"R-HSA-1474228","P51511"
"R-HSA-1474228","P09958"
"R-HSA-1474228","P49768"
"R-HSA-1474228","Q92542"
"R-HSA-1474228","O15230"
"R-HSA-1474228","P11047"
"R-HSA-1474228","P07942"
"R-HSA-1474228","P20810"
"R-HSA-1474228","P50281"
"R-HSA-1474228","P45452"
"R-HSA-1474228","P09237"
"R-HSA-1474228","P10451"
"R-HSA-1474228","P08311"
"R-HSA-1474228","P08254"
"R-HSA-1474228","P24347"
"R-HSA-1474228","P16035"
"R-HSA-1474228","Q9BQ16"
"R-HSA-1474228","P39060"
"R-HSA-1474228","P01033"
"R-HSA-1474228","P22894"
"R-HSA-1474228","P16070"
"R-HSA-1474228","P01023"
"R-HSA-3322077",
"R-HSA-3322077","P13807"
"R-HSA-3322077","P46976"
"R-HSA-3322077","Q9UQK1"
"R-HSA-3322077","O95278"
"R-HSA-3322077","P54840"
"R-HSA-3322077","O15488"
"R-HSA-3322077","Q6VVB1"
"R-HSA-3322077","Q04446"
"R-HSA-3322077","P36871"
"R-HSA-3322077","Q16851"
"R-HSA-8866427","P98155"
"R-HSA-8866427","Q8NBP7"
"R-HSA-8866427","Q00610"
"R-HSA-8866427","P09496"
"R-HSA-8866427","P53680"
