previousPathwayAncestorID,interaction,nextPathwayAncestorID,tag
R-HSA-8963896,abstraction:NextStepPathway,R-HSA-8964058,inferred
R-HSA-8963896,abstraction:NextStepPathway,R-HSA-8963899,inferred
R-HSA-8963898,abstraction:NextStepPathway,R-HSA-8964058,inferred
R-HSA-8963898,abstraction:NextStepPathway,R-HSA-8963899,inferred
R-HSA-611105,abstraction:NextStepPathway,R-HSA-5628897,inferred
R-HSA-611105,abstraction:NextStepPathway,R-HSA-3700989,inferred
R-HSA-611105,abstraction:NextStepPathway,R-HSA-212436,inferred
R-HSA-611105,abstraction:NextStepPathway,R-HSA-73857,inferred
R-HSA-611105,abstraction:NextStepPathway,R-HSA-74160,inferred
R-HSA-1428517,abstraction:NextStepPathway,R-HSA-5628897,inferred
R-HSA-1428517,abstraction:NextStepPathway,R-HSA-3700989,inferred
R-HSA-1428517,abstraction:NextStepPathway,R-HSA-212436,inferred
R-HSA-1428517,abstraction:NextStepPathway,R-HSA-73857,inferred
R-HSA-1428517,abstraction:NextStepPathway,R-HSA-74160,inferred
R-HSA-1430728,abstraction:NextStepPathway,R-HSA-5628897,inferred
R-HSA-1430728,abstraction:NextStepPathway,R-HSA-3700989,inferred
R-HSA-1430728,abstraction:NextStepPathway,R-HSA-212436,inferred
R-HSA-1430728,abstraction:NextStepPathway,R-HSA-73857,inferred
R-HSA-1430728,abstraction:NextStepPathway,R-HSA-74160,inferred
R-HSA-611105,abstraction:NextStepPathway,R-HSA-9707564,inferred
R-HSA-611105,abstraction:NextStepPathway,R-HSA-9711123,inferred
R-HSA-611105,abstraction:NextStepPathway,R-HSA-2262752,inferred
R-HSA-611105,abstraction:NextStepPathway,R-HSA-8953897,inferred
R-HSA-1428517,abstraction:NextStepPathway,R-HSA-9707564,inferred
R-HSA-1428517,abstraction:NextStepPathway,R-HSA-9711123,inferred
R-HSA-1428517,abstraction:NextStepPathway,R-HSA-2262752,inferred
R-HSA-1428517,abstraction:NextStepPathway,R-HSA-8953897,inferred
R-HSA-1430728,abstraction:NextStepPathway,R-HSA-9707564,inferred
R-HSA-1430728,abstraction:NextStepPathway,R-HSA-9711123,inferred
R-HSA-1430728,abstraction:NextStepPathway,R-HSA-2262752,inferred
R-HSA-1430728,abstraction:NextStepPathway,R-HSA-8953897,inferred
R-HSA-6804756,abstraction:NextStepPathway,R-HSA-6804760,inferred
R-HSA-6804756,abstraction:NextStepPathway,R-HSA-6804759,inferred
R-HSA-6804756,abstraction:NextStepPathway,R-HSA-6803204,inferred
R-HSA-6804756,abstraction:NextStepPathway,R-HSA-5633008,inferred
R-HSA-5633007,abstraction:NextStepPathway,R-HSA-6803204,inferred
R-HSA-5633007,abstraction:NextStepPathway,R-HSA-5633008,inferred
