pathwayName,nextName,tag
High laminar flow shear stress activates signaling by PIEZO1 and PECAM1:CDH5:KDR in endothelial cells,Neurotransmitter receptors and postsynaptic signal transmission,NextStepParentPathway
FCERI mediated Ca+2 mobilization,Neurotransmitter receptors and postsynaptic signal transmission,NextStepParentPathway
"Unblocking of NMDA receptors, glutamate binding and activation",Neurotransmitter receptors and postsynaptic signal transmission,NextStepParentPathway
FCGR3A-mediated IL10 synthesis,Neurotransmitter receptors and postsynaptic signal transmission,NextStepParentPathway
CaMK IV-mediated phosphorylation of CREB,Neurotransmitter receptors and postsynaptic signal transmission,NextStepParentPathway
Smooth Muscle Contraction,Neurotransmitter receptors and postsynaptic signal transmission,NextStepParentPathway
VEGFR2 mediated cell proliferation,Neurotransmitter receptors and postsynaptic signal transmission,NextStepParentPathway
CaM pathway,Neurotransmitter receptors and postsynaptic signal transmission,NextStepParentPathway
CLEC7A (Dectin-1) induces NFAT activation,Neurotransmitter receptors and postsynaptic signal transmission,NextStepParentPathway
Antigen activates B Cell Receptor (BCR) leading to generation of second messengers,Neurotransmitter receptors and postsynaptic signal transmission,NextStepParentPathway
"Inactivation, recovery and regulation of the phototransduction cascade",Neurotransmitter receptors and postsynaptic signal transmission,NextStepParentPathway
RSK activation,Neurotransmitter receptors and postsynaptic signal transmission,NextStepParentPathway
RAF/MAP kinase cascade,Neurotransmitter receptors and postsynaptic signal transmission,NextStepParentPathway
Frs2-mediated activation,Neurotransmitter receptors and postsynaptic signal transmission,NextStepParentPathway
RAF-independent MAPK1/3 activation,Neurotransmitter receptors and postsynaptic signal transmission,NextStepParentPathway
PKA-mediated phosphorylation of CREB,Neurotransmitter receptors and postsynaptic signal transmission,NextStepParentPathway
PKA activation in glucagon signalling,Neurotransmitter receptors and postsynaptic signal transmission,NextStepParentPathway
GPER1 signaling,Neurotransmitter receptors and postsynaptic signal transmission,NextStepParentPathway
G alpha (z) signalling events,Neurotransmitter receptors and postsynaptic signal transmission,NextStepParentPathway
Vasopressin regulates renal water homeostasis via Aquaporins,Neurotransmitter receptors and postsynaptic signal transmission,NextStepParentPathway
DARPP-32 events,Neurotransmitter receptors and postsynaptic signal transmission,NextStepParentPathway
G alpha (s) signalling events,Neurotransmitter receptors and postsynaptic signal transmission,NextStepParentPathway
PKA activation,Neurotransmitter receptors and postsynaptic signal transmission,NextStepParentPathway
ADORA2B mediated anti-inflammatory cytokines production,Neurotransmitter receptors and postsynaptic signal transmission,NextStepParentPathway
Long-term potentiation,Neurotransmitter receptors and postsynaptic signal transmission,NextStepParentPathway
Heme signaling,Binding and Uptake of Ligands by Scavenger Receptors,NextStepParentPathway
IPs transport between ER lumen and cytosol,Inositol phosphate metabolism,NextStepParentPathway
IPs transport between nucleus and cytosol,Inositol phosphate metabolism,NextStepParentPathway
Synthesis of IPs in the ER lumen,Inositol phosphate metabolism,NextStepParentPathway
IPs transport between cytosol and ER lumen,Inositol phosphate metabolism,NextStepParentPathway
IPs transport between ER lumen and nucleus,Inositol phosphate metabolism,NextStepParentPathway
IP3 and IP4 transport between cytosol and nucleus,Inositol phosphate metabolism,NextStepParentPathway
IP6 and IP7 transport between cytosol and nucleus,Inositol phosphate metabolism,NextStepParentPathway
IPs transport between nucleus and ER lumen,Inositol phosphate metabolism,NextStepParentPathway
"PI5P, PP2A and IER3 Regulate PI3K/AKT Signaling",Inositol phosphate metabolism,NextStepParentPathway
Negative regulation of the PI3K/AKT network,Inositol phosphate metabolism,NextStepParentPathway
Role of phospholipids in phagocytosis,Inositol phosphate metabolism,NextStepParentPathway
VEGFR2 mediated cell proliferation,Inositol phosphate metabolism,NextStepParentPathway
DAG and IP3 signaling,Inositol phosphate metabolism,NextStepParentPathway
Synthesis of PIPs at the plasma membrane,Inositol phosphate metabolism,NextStepParentPathway
Downstream TCR signaling,Inositol phosphate metabolism,NextStepParentPathway
Synthesis of IPs in the nucleus,Inositol phosphate metabolism,NextStepParentPathway
Synthesis of IP3 and IP4 in the cytosol,Inositol phosphate metabolism,NextStepParentPathway
Synthesis of pyrophosphates in the cytosol,Inositol phosphate metabolism,NextStepParentPathway
Synthesis of PIPs at the late endosome membrane,Inositol phosphate metabolism,NextStepParentPathway
TNFR1-induced proapoptotic signaling,Regulation of necroptotic cell death,NextStepParentPathway
TRAIL  signaling,Regulation of necroptotic cell death,NextStepParentPathway
FasL/ CD95L signaling,Regulation of necroptotic cell death,NextStepParentPathway
Generation of second messenger molecules,G alpha (i) signalling events,NextStepParentPathway
G beta:gamma signalling through PLC beta,G alpha (i) signalling events,NextStepParentPathway
Acetylcholine regulates insulin secretion,G alpha (i) signalling events,NextStepParentPathway
FCERI mediated Ca+2 mobilization,G alpha (i) signalling events,NextStepParentPathway
Fatty Acids bound to GPR40 (FFAR1) regulate insulin secretion,G alpha (i) signalling events,NextStepParentPathway
FCGR3A-mediated IL10 synthesis,G alpha (i) signalling events,NextStepParentPathway
IPs transport between ER lumen and cytosol,G alpha (i) signalling events,NextStepParentPathway
Synthesis of IP3 and IP4 in the cytosol,G alpha (i) signalling events,NextStepParentPathway
GPVI-mediated activation cascade,G alpha (i) signalling events,NextStepParentPathway
Role of phospholipids in phagocytosis,G alpha (i) signalling events,NextStepParentPathway
VEGFR2 mediated cell proliferation,G alpha (i) signalling events,NextStepParentPathway
Regulation of insulin secretion,G alpha (i) signalling events,NextStepParentPathway
CLEC7A (Dectin-1) induces NFAT activation,G alpha (i) signalling events,NextStepParentPathway
DAG and IP3 signaling,G alpha (i) signalling events,NextStepParentPathway
Ca2+ pathway,G alpha (i) signalling events,NextStepParentPathway
Ion homeostasis,G alpha (i) signalling events,NextStepParentPathway
Antigen activates B Cell Receptor (BCR) leading to generation of second messengers,G alpha (i) signalling events,NextStepParentPathway
Effects of PIP2 hydrolysis,G alpha (i) signalling events,NextStepParentPathway
High laminar flow shear stress activates signaling by PIEZO1 and PECAM1:CDH5:KDR in endothelial cells,G alpha (i) signalling events,NextStepParentPathway
PLC beta mediated events,G alpha (i) signalling events,NextStepParentPathway
Mechanical load activates signaling by PIEZO1 and integrins in osteocytes,G alpha (i) signalling events,NextStepParentPathway
"Turbulent (oscillatory, disturbed) flow shear stress activates signaling by PIEZO1 and integrins in endothelial cells",G alpha (i) signalling events,NextStepParentPathway
